Gene1,Gene2
BCL3,RRP9
BCL3,S100A10
BCL3,S100A2
BCL3,S100A6
BCL3,SAYSD1
BCL3,SCAND1
BCL3,SCO2
BCL3,SDC1
BCL3,SDC4
BCL3,SEC61G
BCL3,SEMA4C
BCL3,SERF1A
BCL3,SERTAD1
BCL3,SERTAD3
BCL3,SF3B4
BCL3,SF3B5
BCL3,SH3GLB2
BCL3,SHF
BCL3,SHOX2
BCL3,SIGMAR1
BCL3,SIRT3
BCL3,SKIDA1
BCL3,SLC10A3
BCL3,SLC12A7
BCL3,SLC19A1
BCL3,SLC1A5
BCL3,SLC25A5-AS1
BCL3,SLC25A6
BCL3,SLC26A6
BCL3,SLC2A6
BCL3,SLC35A2
BCL3,SLC38A10
BCL3,SLC39A1
BCL3,SLC40A1
BCL3,SLC45A4
BCL3,SLC7A11
BCL3,SLC7A5
BCL3,SLC7A5P2
BCL3,SNORA70B
BCL3,SNORD3D
BCL3,SNORD99
BCL3,SOX17
BCL3,SP6
BCL3,SP7
BCL3,SPATA24
BCL3,SPATA41
BCL3,SPEF1
BCL3,SPRY2
BCL3,SPSB2
BCL3,SRI
BCL3,SRSF2
BCL3,ST3GAL1
BCL3,ST6GALNAC1
BCL3,ST6GALNAC6
BCL3,STARD5
BCL3,STAU2-AS1
BCL3,STC2
BCL3,STK25
BCL3,STRA6
BCL3,SUMO3
BCL3,SURF4
BCL3,SYBU
BCL3,SYVN1
BCL3,TAF10
BCL3,TAF6
BCL3,TAP1
BCL3,TBRG4
BCL3,TEP1
BCL3,TERC
BCL3,TFPI2
BCL3,THAP7
BCL3,THBD
BCL3,TIMM13
BCL3,TIMP2
BCL3,TINF2
BCL3,TJP3
BCL3,TLCD1
BCL3,TLE3
BCL3,TM4SF1
BCL3,TMC6
BCL3,TMEM120A
BCL3,TMEM129
BCL3,TMEM160
BCL3,TMEM17
BCL3,TMEM185B
BCL3,TMEM186
BCL3,TMEM259
BCL3,TNFRSF1A
BCL3,TNK2
BCL3,TNKS1BP1
