Gene1,Gene2
CEBPB,PTHLH
AR,UBC
FOSB,FOSB
RELA,YY1
USF1,LGALS3BP
USF2,LGALS3BP
CDX2,CDX2
FOXA2,AQP3
AR,MED1
MED1,AR
AR,SPDEF
NKX3-1,SPDEF
XBP1,JUN
NR1D1,NR1D1
RELA,NPPA
SP1,MSRB1
SP1,MGAT1
BCL3,PTHLH
AR,AKR1B1
GATA4,TBX6
TP53,HAMP
CREB1,SPRY2
SP1,SPRY2
HEY1,HES5
TP63,GATA3
TP63,MFGE8
ARNT,FGFR1
CREB1,HIF1A
JUN,CHKA
EPAS1,CITED2
USF1,IGFBP3
HIF1A,APLN
AR,GADD45GIP1
RELA,HIF1A
GATA3,FGFR1
VSX1,VSX1
YY1,LSS
TCF12,KDM1A
USF1,CTCF
HR,FLT4
ATF3,FN1
CREB1,USF2
BCL3,BCL3
XBP1,SYVN1
MYBL2,AR
SMAD3,NOTCH3
SP1,CLDN3
ZBTB16,ZBTB16
NCOR2,CRH
ETS1,ARHGDIB
PRDM1,PSMB8
YY1,PEG3
RARB,FGFR1
CEBPB,SMARCA2
GATA2,SMARCA2
YY1,REST
MYC,LAMTOR5
SP1,MST1R
HIF1A,CHKA
CREB1,NR5A2
TP63,AQP3
MYC,WDR5
SP1,CDKN1C
EPAS1,CTCF
ETS1,WT1
WT1,ETS1
CEBPB,C3
AR,UGT2B17
RELA,MYOCD
HIF1A,TNNI3
MAX,MAX
LHX6,LHX6
NKX2-1,LHX6
CEBPB,MAT1A
NR3C1,NPPA
SP1,ELF1
SP1,GABPA
GATA4,CEBPB
CEBPB,MFGE8
HIF1A,STC2
EZH2,RUNX3
NR3C1,S100A10
TP53,BCL6
BCL6,TP53
AR,TRIM68
ZBTB17,SIN3A
TP53,DAD1
CREB1,AQP3
HMGA2,HMGA2
SOX17,ZNF202
BHLHE40,TP53
TP53,BHLHE40
E2F6,E2F1
E2F1,E2F6
TP53,KDM1A
RELA,MST1R
AR,PKD1
SP1,PRDM1
CREB1,USF1
USF1,CREB1
NFE2L2,KRT16
TP63,CHUK
FOSB,TNFSF10
JUND,TNFSF10
IRF1,SLC26A6
E2F1,PDK4
RELA,IRF1
SP1,WIF1
SP1,TNFSF10
RELA,AQP2
EZH2,FGFR1
SP1,S100A6
TP53,S100A6
FOXJ1,FOXJ1
SP1,DMPK
E2F1,SRSF2
SP7,PTHLH
EPAS1,F12
ARX,DLX1
PRDM1,FASTK
SP1,LOXL4
CREB1,WNT10B
PBX1,NOTCH3
NCOR2,CYP24A1
TP53,GBP2
YY1,TNNI3
YY1,HOXB13
CREB1,SLC39A1
SP1,SLC39A1
GATA4,FGFR1
CEBPB,TP53
FOXA2,SFTPB
SP1,SFTPB
HIF1A,FOXM1
GABPA,SYVN1
HIF1A,MUC1
SP1,EZR
JUN,EZR
RELA,BRMS1
MYC,EZH2
EZH2,MYC
RELA,KDM1A
RUNX3,SLC22A17
CEBPB,CDKN1C
TEAD4,HIF1A
TP53,MAPK12
SP1,NKX3-1
TEAD4,FGFR1
NR3C1,RLN2
E2F1,FGFR1
HIF1A,MST1R
GABPA,PYCARD
EZH2,CDKN1C
CTCF,RAD21
HIF1A,SDC1
TP53,AGA
SP7,SP1
JUN,S100A10
TP53,SMARCA4
BCL3,PDK4
JUN,ETS1
ETS1,JUN
SMAD3,ACHE
SOX17,CDKN1C
CEBPB,XBP1
CEBPB,TNFRSF1A
TP63,ALOX12
AR,CDK2AP1
E2F1,KCNJ11
MYC,E2F1
E2F1,MYC
HIF1A,S100A4
CEBPB,HAMP
YY1,YY1
NCOR2,RORC
MYC,TIMP2
SP1,SREBF2
HR,CYP24A1
NFE2L2,ATF3
ZBTB17,TP53
ETS1,RUNX3
HIF1A,HEY1
NR3C1,CREB1
CREB1,NR3C1
MYC,PTK6
FOXA1,AGR2
RELA,TP63
CREB1,DOT1L
SP1,APBB1
CTCF,TP53
RELA,CREB1
NR3C1,MCL1
WT1,WNT4
NFE2L2,SLC40A1
AR,TAF1
TAF1,AR
MYC,NKX3-1
SP1,SOX17
GATA2,GATA2
FOSB,CCK
BHLHE40,CDH15
SP1,FOXM1
KDM5A,FGFR1
NFE2L2,GADD45GIP1
AR,SMARCA4
REST,SYN1
PRDM1,MKI67
KLF9,FGFR1
E2F2,ARNT
JUN,TP63
MYT1,OPALIN
FOXA1,UGT2B17
FOXA2,GATA4
MYC,WIF1
ZBTB17,WIF1
RELA,RAPSN
HR,RAPSN
CTCF,BCL6
SP1,SMAD3
NR1D1,NPAS2
EZH2,TNFSF10
WT1,S100A10
WT1,SMAD3
ETS1,NKX3-1
GATA3,NKX3-1
SP1,NPPA
EPAS1,PTHLH
TP53,THBD
SP1,MKI67
GATA4,EP300
TP53,GATA4
GATA4,TP53
FOSL1,JUNB
JUNB,JUNB
CEBPB,FOXA1
SP1,FEZF1
FEZF1,FEZF1
CREB1,C3
SP1,REST
GATA4,PPP1R9B
SP1,PPP1R9B
HIF1A,IGFBP3
HIF1A,TFF1
TP53,RRAD
AR,INPP4B
TBR1,TBR1
SALL2,SALL2
MYC,JUNB
HIF1A,LOX
YY1,LTB
ELK1,MCL1
HOXB13,AR
AR,NR5A2
SP1,SUMO3
CEBPB,ZFP36
TP53,CASP9
AR,TP63
TP63,AR
CTCF,CDKN1C
ATF3,WNT7B
AR,MUC1
BHLHE40,TP63
HIF1A,NCOR2
SMAD3,MYOCD
NR1D1,NUPR1
NR2E3,NUPR1
ETS1,MCL1
XBP1,MCL1
HR,NRN1
AR,MCL1
EZH2,RAP1GAP
EZH2,CBX2
RARB,HIF1A
HIF1A,RARB
TP53,LTA
HR,NQO1
RELA,TNFRSF1A
CEBPB,PDK4
PBX1,SP7
SP7,FGFR1
GATA2,CDX2
GATA4,HAMP
TP53,PAF1
SMAD3,FOXA2
SP1,TRPV1
ATOH8,FGFR1
IRF1,SMARCA4
SP1,TINF2
JUN,RHOC
AR,CDK20
CEBPB,WNT10B
E2F1,CDKN2D
CREB1,AQP2
YY1,HAS2
AR,OSR1
NFE2L2,MST1R
SP1,FOSB
CREB1,NDN
GATA3,LOX
ATF3,ITGA7
BCL3,CTCF
ZBTB16,FGFR1
GATA4,PKD1
IRF1,DOT1L
DOT1L,IRF1
NR2E3,TP53
TP53,SIN3A
ETS1,GATA4
HOXA7,HOXA7
ETS1,JUNB
TCF12,FN1
KAT8,FGFR1
RELA,LTA
TP53,GATA2
GATA2,TP53
EZH2,AR
RELA,NAMPT
ARX,ARX
SHOX2,ARX
ARX,SHOX2
TP53,FOSL1
ARID1A,SMARCA2
JUN,ACHE
TP63,NQO1
SREBF2,USF1
TCF12,FGFR1
HIF1A,ATP13A2
JUN,CHD4
CTCF,LTA
CTCF,LTB
ARX,TGFB3
ETS1,FN1
TP63,ZNF750
EPAS1,EP300
EPAS1,KCNJ11
ELK1,ZFP36
JUN,PRDM1
RELA,MCL1
CREB1,ORMDL3
ETS1,ORMDL3
ZBTB16,GATA4
TP53,NFE2L2
ARX,SCT
CREB1,FOXA1
CREB1,ATF3
CREB1,FOSB
FOSB,CREB1
CTCF,JUN
ETS1,LTB
RELA,LTB
JUNB,S100A2
ESRRA,SCT
FOXM1,AURKB
CEBPB,CD200R1
E2F1,FOXM1
EZH2,HOXB13
SREBF2,DHCR24
MYC,CITED2
IRF1,MKI67
USF1,RORC
USF2,RORC
MYC,BRD4
ATF3,MAP1LC3B
ATF3,PCYT2
CEBPB,MAP1LC3B
CEBPB,PCYT2
MYC,NFE2L2
NFE2L2,MYC
SOX17,SOX17
SOX21,HES5
RELA,BHLHE40
EZH2,GATA3
CEBPB,TRPV1
XBP1,STARD5
GATA2,CEBPB
MYC,RAD21
JUN,IL7
SP7,COL1A1
BCL6,HES5
HIF1A,MCL1
MAZ,GATA4
MYC,GATA4
SP1,SYN1
SMAD3,ANGPTL2
SP1,LAMTOR5
AR,AGR3
SP1,JUND
TBX6,HES7
NR3C1,TINF2
ZBTB16,SLAMF6
NKX6-1,ARX
TP63,SMARCA4
FOSL1,CHUK
JUNB,CHUK
SHOX2,SHOX2
CEBPB,SIN3A
GATA3,CHD4
JUN,WNT16
NKX3-1,CHD1
ESRRA,LDHB
KAT8,SMARCA2
ETS1,FLT4
DBP,ARNT
RELA,SDC4
CEBPB,SFTPB
XBP1,WNT10B
